,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Distrito
118,01/04/15,10.6,0.4%,"0,00%",1.1%,BILBAO
119,01/03/15,10.6,"0,00%",-0.8%,2.2%,BILBAO
120,01/02/15,10.6,-0.4%,-0.4%,0.5%,BILBAO
121,01/01/15,10.6,-0.4%,0.7%,0.3%,BILBAO
122,01/12/14,10.7,0.4%,1.6%,0.4%,BILBAO
123,01/11/14,10.6,0.7%,2.2%,"0,00%",BILBAO
124,01/10/14,10.6,0.5%,1.6%,-0.6%,BILBAO
125,01/09/14,10.5,"1,00%","0,00%",-1.5%,BILBAO
126,01/08/14,10.4,0.1%,-1.5%,-2.1%,BILBAO
127,01/07/14,10.4,-1.1%,-1.2%,-2.2%,BILBAO
128,01/06/14,10.5,-0.6%,1.4%,-1.2%,BILBAO
129,01/05/14,10.6,0.5%,0.3%,-0.6%,BILBAO
130,01/04/14,10.5,1.4%,-0.8%,-1.9%,BILBAO
131,01/03/14,10.4,-1.6%,-2.5%,-3.8%,BILBAO
132,01/02/14,10.5,-0.6%,-0.9%,-2.8%,BILBAO
133,01/01/14,10.6,-0.3%,-0.3%,-3.7%,BILBAO
134,01/12/13,10.6,"0,00%",-0.4%,-4.9%,BILBAO
135,01/11/13,10.6,"0,00%","0,00%",-5.9%,BILBAO
136,01/10/13,10.6,-0.4%,"0,00%",-7.6%,BILBAO
137,01/09/13,10.7,0.4%,0.4%,-8.6%,BILBAO
138,01/08/13,10.6,"0,00%","0,00%",-8.9%,BILBAO
139,01/07/13,10.6,"0,00%",-0.8%,"-9,00%",BILBAO
140,01/06/13,10.6,"0,00%",-1.3%,-10.6%,BILBAO
141,01/05/13,10.6,-0.8%,"-2,00%",-11.6%,BILBAO
142,01/04/13,10.7,-0.5%,-2.6%,-11.5%,BILBAO
143,01/03/13,10.8,-0.6%,-3.6%,-10.9%,BILBAO
144,01/02/13,10.8,-1.5%,"-4,00%",-10.8%,BILBAO
