,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Distrito
824,01/01/14,9.8,-1.7%,-1.5%,-5.4%,Begoña
825,01/12/13,10.0,0.1%,0.2%,-5.1%,Begoña
826,01/11/13,10.0,"0,00%","0,00%",-7.8%,Begoña
827,01/10/13,10.0,"0,00%","0,00%",-9.2%,Begoña
828,01/09/13,10.0,"0,00%","0,00%",-11.6%,Begoña
829,01/08/13,10.0,"0,00%","0,00%",-10.9%,Begoña
830,01/07/13,10.0,"0,00%","0,00%","-12,00%",Begoña
831,01/06/13,10.0,"0,00%",-0.1%,-11.2%,Begoña
832,01/05/13,10.0,"0,00%",-0.2%,-11.3%,Begoña
833,01/04/13,10.0,-0.2%,"-4,00%",-12.7%,Begoña
834,01/03/13,10.0,n.d.,-5.1%,n.d.,Begoña
835,01/02/13,10.0,-3.8%,-7.7%,n.d.,Begoña
836,01/01/13,10.4,-1.3%,-5.5%,n.d.,Begoña
837,01/12/12,10.5,-2.7%,-6.6%,n.d.,Begoña
838,01/11/12,10.8,-1.5%,-3.3%,n.d.,Begoña
839,01/10/12,11.0,-2.6%,-3.1%,n.d.,Begoña
840,01/09/12,11.3,0.8%,0.4%,n.d.,Begoña
841,01/08/12,11.2,-1.2%,-0.4%,n.d.,Begoña
842,01/07/12,11.3,0.9%,-0.7%,n.d.,Begoña
843,01/06/12,11.3,n.d.,n.d.,n.d.,Begoña
844,01/05/12,11.3,-1.6%,n.d.,n.d.,Begoña
845,01/04/12,11.4,n.d.,n.d.,n.d.,Begoña
846,01/03/12,n.d.,n.d.,n.d.,n.d.,Begoña
847,01/02/12,n.d.,n.d.,n.d.,n.d.,Begoña
848,01/01/12,n.d.,n.d.,n.d.,n.d.,Begoña
849,01/12/11,n.d.,n.d.,n.d.,n.d.,Begoña
850,01/11/11,n.d.,n.d.,n.d.,n.d.,Begoña
851,01/10/11,n.d.,n.d.,n.d.,n.d.,Begoña
852,01/09/11,n.d.,n.d.,n.d.,n.d.,Begoña
853,01/08/11,n.d.,n.d.,n.d.,n.d.,Begoña
854,01/07/11,n.d.,n.d.,n.d.,n.d.,Begoña
855,01/06/11,n.d.,n.d.,n.d.,n.d.,Begoña
856,01/05/11,n.d.,n.d.,n.d.,n.d.,Begoña
857,01/04/11,n.d.,n.d.,n.d.,n.d.,Begoña
858,01/03/11,n.d.,n.d.,n.d.,n.d.,Begoña
859,01/02/11,n.d.,n.d.,n.d.,n.d.,Begoña
860,01/01/11,n.d.,n.d.,n.d.,n.d.,Begoña
861,01/12/10,n.d.,n.d.,n.d.,n.d.,Begoña
862,01/11/10,n.d.,n.d.,n.d.,n.d.,Begoña
863,01/10/10,n.d.,n.d.,n.d.,n.d.,Begoña
864,01/09/10,n.d.,n.d.,n.d.,n.d.,Begoña
865,01/08/10,n.d.,n.d.,n.d.,n.d.,Begoña
866,01/07/10,n.d.,n.d.,n.d.,n.d.,Begoña
867,01/06/10,n.d.,n.d.,n.d.,n.d.,Begoña
868,01/05/10,n.d.,n.d.,n.d.,n.d.,Begoña
869,01/04/10,n.d.,n.d.,n.d.,n.d.,Begoña
870,01/03/10,n.d.,n.d.,n.d.,n.d.,Begoña
871,01/02/10,n.d.,n.d.,n.d.,n.d.,Begoña
872,01/01/10,n.d.,n.d.,n.d.,n.d.,Begoña
873,01/12/09,n.d.,n.d.,n.d.,n.d.,Begoña
874,01/11/09,n.d.,n.d.,n.d.,n.d.,Begoña
875,01/10/09,n.d.,n.d.,n.d.,n.d.,Begoña
876,01/09/09,n.d.,n.d.,n.d.,n.d.,Begoña
877,01/08/09,n.d.,n.d.,n.d.,n.d.,Begoña
878,01/07/09,n.d.,n.d.,n.d.,n.d.,Begoña
879,01/06/09,n.d.,n.d.,n.d.,n.d.,Begoña
880,01/05/09,n.d.,n.d.,n.d.,n.d.,Begoña
881,01/04/09,n.d.,n.d.,n.d.,n.d.,Begoña
882,01/03/09,n.d.,n.d.,n.d.,n.d.,Begoña
883,01/02/09,n.d.,n.d.,n.d.,n.d.,Begoña
884,01/01/09,n.d.,n.d.,n.d.,n.d.,Begoña
885,01/12/08,n.d.,n.d.,n.d.,n.d.,Begoña
886,01/11/08,n.d.,n.d.,n.d.,n.d.,Begoña
887,01/10/08,n.d.,n.d.,n.d.,n.d.,Begoña
888,01/09/08,n.d.,n.d.,n.d.,n.d.,Begoña
889,01/08/08,n.d.,n.d.,n.d.,n.d.,Begoña
890,01/07/08,n.d.,n.d.,n.d.,n.d.,Begoña
891,01/06/08,n.d.,n.d.,n.d.,n.d.,Begoña
892,01/05/08,n.d.,n.d.,n.d.,n.d.,Begoña
893,01/04/08,n.d.,n.d.,n.d.,n.d.,Begoña
894,01/03/08,n.d.,n.d.,n.d.,n.d.,Begoña
895,01/02/08,n.d.,n.d.,n.d.,n.d.,Begoña
896,01/01/08,n.d.,n.d.,n.d.,n.d.,Begoña
897,01/12/07,n.d.,n.d.,n.d.,n.d.,Begoña
898,01/11/07,n.d.,n.d.,n.d.,n.d.,Begoña
899,01/10/07,n.d.,n.d.,n.d.,n.d.,Begoña
900,01/09/07,n.d.,n.d.,n.d.,n.d.,Begoña
901,01/08/07,n.d.,n.d.,n.d.,n.d.,Begoña
902,01/07/07,n.d.,n.d.,n.d.,n.d.,Begoña
903,01/06/07,n.d.,n.d.,n.d.,n.d.,Begoña
904,01/05/07,n.d.,n.d.,n.d.,n.d.,Begoña
905,01/04/07,n.d.,n.d.,n.d.,n.d.,Begoña
906,01/03/07,n.d.,n.d.,n.d.,n.d.,Begoña
907,01/02/07,n.d.,n.d.,n.d.,n.d.,Begoña
908,01/01/07,n.d.,n.d.,n.d.,n.d.,Begoña
909,01/12/06,n.d.,n.d.,n.d.,n.d.,Begoña
910,01/11/06,n.d.,n.d.,n.d.,n.d.,Begoña
911,01/10/06,n.d.,n.d.,n.d.,n.d.,Begoña
912,01/09/06,n.d.,n.d.,n.d.,n.d.,Begoña
913,01/08/06,n.d.,n.d.,n.d.,n.d.,Begoña
914,01/07/06,n.d.,n.d.,n.d.,n.d.,Begoña
915,01/06/06,n.d.,n.d.,n.d.,n.d.,Begoña
916,01/05/06,n.d.,n.d.,n.d.,n.d.,Begoña
917,01/04/06,n.d.,n.d.,n.d.,n.d.,Begoña
918,01/03/06,n.d.,n.d.,n.d.,n.d.,Begoña
919,01/02/06,n.d.,n.d.,n.d.,n.d.,Begoña
920,01/01/06,n.d.,n.d.,n.d.,n.d.,Begoña
921,01/03/25,16.7,3.6%,11.5%,"20,00%",Casco
922,01/02/25,16.1,3.7%,11.9%,13.7%,Casco
923,01/01/25,15.5,3.8%,"9,00%",8.6%,Casco
924,01/12/24,14.9,3.9%,5.5%,7.5%,Casco
925,01/11/24,14.4,"1,00%","1,00%",7.8%,Casco
926,01/10/24,14.2,0.5%,2.2%,6.7%,Casco
927,01/09/24,14.2,-0.5%,-1.4%,8.5%,Casco
928,01/08/24,14.2,2.2%,-1.1%,11.4%,Casco
929,01/07/24,13.9,-3.1%,-1.7%,11.4%,Casco
930,01/06/24,14.4,-0.1%,3.5%,12.5%,Casco
931,01/05/24,14.4,1.6%,1.7%,10.3%,Casco
932,01/04/24,14.2,"2,00%",-0.8%,6.3%,Casco
933,01/03/24,13.9,-1.9%,-0.1%,2.3%,Casco
934,01/02/24,14.2,-0.9%,6.2%,3.2%,Casco
935,01/01/24,14.3,2.8%,7.1%,n.d.,Casco
936,01/12/23,13.9,4.3%,6.5%,-1.3%,Casco
937,01/11/23,13.3,n.d.,4.4%,-2.2%,Casco
938,01/10/23,13.3,2.2%,6.7%,1.5%,Casco
939,01/09/23,13.1,2.2%,2.1%,0.4%,Casco
940,01/08/23,12.8,2.2%,-2.2%,"0,00%",Casco
941,01/07/23,12.5,-2.2%,-6.2%,-0.4%,Casco
942,01/06/23,12.8,-2.1%,-5.8%,5.1%,Casco
943,01/05/23,13.1,-2.1%,-4.8%,4.4%,Casco
944,01/04/23,13.3,-1.8%,-6.7%,4.4%,Casco
945,01/03/23,13.6,"-1,00%",-3.7%,10.3%,Casco
946,01/02/23,13.7,"-4,00%",0.5%,11.4%,Casco
947,01/01/23,14.3,1.4%,8.7%,11.1%,Casco
948,01/12/22,14.1,3.3%,8.4%,11.2%,Casco
949,01/11/22,13.6,3.8%,6.8%,9.1%,Casco
950,01/10/22,13.1,1.1%,4.7%,5.1%,Casco
951,01/09/22,13.0,1.9%,6.9%,6.7%,Casco
952,01/08/22,12.8,1.7%,2.1%,"8,00%",Casco
953,01/07/22,12.5,3.2%,-1.7%,6.2%,Casco
954,01/06/22,12.2,-2.7%,-1.2%,1.3%,Casco
955,01/05/22,12.5,-2.1%,1.6%,1.6%,Casco
956,01/04/22,12.8,3.7%,-0.7%,0.2%,Casco
957,01/03/22,12.3,n.d.,-2.8%,-1.2%,Casco
958,01/02/22,12.3,-4.3%,-1.5%,4.1%,Casco
959,01/01/22,12.9,1.5%,2.9%,7.8%,Casco
960,01/12/21,12.7,1.3%,"4,00%",1.3%,Casco
961,01/11/21,12.5,n.d.,5.8%,n.d.,Casco
962,01/10/21,12.5,2.6%,5.8%,"-1,00%",Casco
963,01/09/21,12.2,3.1%,1.5%,-1.5%,Casco
964,01/08/21,11.8,n.d.,"-4,00%",-5.5%,Casco
965,01/07/21,11.8,-1.5%,-7.2%,-5.5%,Casco
966,01/06/21,12.0,-2.5%,-3.7%,"-4,00%",Casco
967,01/05/21,12.3,-3.4%,4.1%,0.2%,Casco
968,01/04/21,12.7,2.2%,6.9%,3.5%,Casco
969,01/03/21,12.5,5.5%,-0.3%,-6.5%,Casco
970,01/02/21,11.8,-0.9%,-5.5%,-16.5%,Casco
971,01/01/21,11.9,-4.6%,-5.6%,-12.6%,Casco
972,01/12/20,12.5,n.d.,1.1%,0.6%,Casco
973,01/11/20,12.5,"-1,00%",n.d.,-4.2%,Casco
974,01/10/20,12.6,2.2%,1.1%,-1.8%,Casco
975,01/09/20,12.4,-1.1%,-1.1%,1.4%,Casco
976,01/08/20,12.5,n.d.,1.7%,2.9%,Casco
977,01/07/20,12.5,n.d.,1.6%,5.4%,Casco
978,01/06/20,12.5,1.7%,-6.2%,8.4%,Casco
979,01/05/20,12.3,-0.2%,-13.2%,3.6%,Casco
980,01/04/20,12.3,-7.7%,-9.7%,n.d.,Casco
981,01/03/20,13.3,-5.8%,7.3%,8.3%,Casco
982,01/02/20,14.2,3.8%,8.5%,"15,00%",Casco
983,01/01/20,13.6,9.7%,"6,00%",8.7%,Casco
984,01/12/19,12.4,-4.7%,"2,00%",-0.9%,Casco
985,01/11/19,13.0,1.4%,7.4%,5.9%,Casco
986,01/10/19,12.9,5.6%,8.5%,8.4%,Casco
987,01/09/19,12.2,0.4%,5.7%,3.6%,Casco
988,01/08/19,12.1,2.3%,2.3%,1.2%,Casco
989,01/07/19,11.9,2.9%,-3.6%,-2.5%,Casco
990,01/06/19,11.5,-2.8%,-6.3%,-7.8%,Casco
991,01/05/19,11.9,-3.6%,-3.6%,-5.1%,Casco
992,01/04/19,12.3,n.d.,-1.9%,-4.3%,Casco
993,01/03/19,12.3,n.d.,-1.8%,3.2%,Casco
994,01/02/19,12.3,-1.9%,-0.1%,3.9%,Casco
995,01/01/19,12.5,"0,00%",5.7%,0.3%,Casco
996,01/12/18,12.5,1.8%,6.6%,1.9%,Casco
997,01/11/18,12.3,3.8%,2.7%,3.7%,Casco
998,01/10/18,11.9,0.9%,-2.5%,-2.9%,Casco
999,01/09/18,11.8,"-2,00%",-5.9%,-0.5%,Casco
1000,01/08/18,12.0,-1.4%,"-4,00%",1.5%,Casco
1001,01/07/18,12.2,-2.7%,-5.4%,5.8%,Casco
1002,01/06/18,12.5,n.d.,4.8%,5.3%,Casco
1003,01/05/18,12.5,-2.8%,5.6%,5.3%,Casco
1004,01/04/18,12.9,7.8%,2.9%,8.3%,Casco
1005,01/03/18,11.9,0.7%,-3.1%,-2.4%,Casco
1006,01/02/18,11.8,-5.3%,-0.3%,1.2%,Casco
1007,01/01/18,12.5,1.6%,2.3%,2.3%,Casco
1008,01/12/17,12.3,3.6%,4.1%,6.9%,Casco
1009,01/11/17,11.9,-2.8%,0.5%,-0.8%,Casco
1010,01/10/17,12.2,3.4%,6.3%,8.3%,Casco
1011,01/09/17,11.8,n.d.,-0.5%,7.2%,Casco
1012,01/08/17,11.8,2.8%,-0.5%,8.9%,Casco
1013,01/07/17,11.5,-3.2%,-3.2%,5.6%,Casco
1014,01/06/17,11.9,n.d.,-2.8%,"9,00%",Casco
1015,01/05/17,11.9,n.d.,1.4%,4.9%,Casco
1016,01/04/17,11.9,-2.8%,-2.8%,5.3%,Casco
1017,01/03/17,12.2,4.4%,6.2%,12.7%,Casco
1018,01/02/17,11.7,-4.2%,-2.2%,"8,00%",Casco
1019,01/01/17,12.2,6.2%,8.3%,15.2%,Casco
1020,01/12/16,11.5,-3.8%,4.4%,8.7%,Casco
1021,01/11/16,12.0,"6,00%",10.3%,11.7%,Casco
1022,01/10/16,11.3,2.4%,3.6%,8.8%,Casco
1023,01/09/16,11.0,1.6%,1.2%,5.5%,Casco
1024,01/08/16,10.8,-0.4%,-4.2%,1.3%,Casco
1025,01/07/16,10.9,"0,00%",-3.4%,4.2%,Casco
1026,01/06/16,10.9,-3.8%,0.4%,"6,00%",Casco
1027,01/05/16,11.3,0.4%,4.4%,13.2%,Casco
1028,01/04/16,11.3,"4,00%",6.3%,12.7%,Casco
1029,01/03/16,10.8,"0,00%",2.4%,2.7%,Casco
1030,01/02/16,10.8,2.2%,1.2%,2.4%,Casco
1031,01/01/16,10.6,0.2%,2.2%,-2.8%,Casco
1032,01/12/15,10.6,-1.2%,1.3%,-3.7%,Casco
1033,01/11/15,10.7,3.3%,n.d.,n.d.,Casco
1034,01/10/15,10.4,-0.8%,-0.8%,-1.6%,Casco
1035,01/09/15,10.5,-2.4%,1.7%,-2.4%,Casco
1036,01/08/15,10.7,2.5%,7.1%,n.d.,Casco
1037,01/07/15,10.5,1.7%,4.5%,-2.4%,Casco
1038,01/06/15,10.3,2.8%,-2.6%,-5.1%,Casco
1039,01/05/15,10.0,n.d.,-5.6%,-7.7%,Casco
1040,01/04/15,10.0,-5.3%,-8.3%,-7.7%,Casco
1041,01/03/15,10.6,-0.3%,"-4,00%","-4,00%",Casco
1042,01/02/15,10.6,-2.9%,-1.2%,-4.7%,Casco
1043,01/01/15,10.9,-0.8%,3.4%,"-3,00%",Casco
1044,01/12/14,11.0,2.7%,2.7%,-3.8%,Casco
1045,01/11/14,10.7,1.6%,n.d.,"-6,00%",Casco
1046,01/10/14,10.5,-1.6%,-1.6%,-8.6%,Casco
1047,01/09/14,10.7,n.d.,-1.1%,-6.3%,Casco
1048,01/08/14,10.7,n.d.,-1.1%,-7.1%,Casco
1049,01/07/14,10.7,-1.1%,-1.1%,-6.9%,Casco
1050,01/06/14,10.8,n.d.,-1.5%,-7.1%,Casco
1051,01/05/14,10.8,n.d.,-2.5%,-4.7%,Casco
1052,01/04/14,10.8,-1.5%,-3.7%,-3.3%,Casco
1053,01/03/14,11.0,"-1,00%",-3.8%,-8.9%,Casco
1054,01/02/14,11.1,-1.2%,-2.5%,-6.4%,Casco
1055,01/01/14,11.3,-1.6%,-2.5%,-3.9%,Casco
1056,01/12/13,11.4,0.3%,n.d.,-3.3%,Casco
1057,01/11/13,11.4,-1.2%,-1.2%,"-5,00%",Casco
1058,01/10/13,11.5,"1,00%",0.3%,-8.4%,Casco
1059,01/09/13,11.4,"-1,00%","-2,00%",-18.1%,Casco
1060,01/08/13,11.5,0.3%,1.5%,"-15,00%",Casco
1061,01/07/13,11.5,-1.3%,2.7%,-13.7%,Casco
1062,01/06/13,11.7,2.7%,-3.4%,-10.1%,Casco
1063,01/05/13,11.4,1.4%,-4.3%,-12.6%,Casco
1064,01/04/13,11.2,-7.2%,-4.2%,-14.1%,Casco
1065,01/03/13,12.1,1.7%,2.1%,-10.6%,Casco
1066,01/02/13,11.9,1.5%,"-1,00%",-7.6%,Casco
1067,01/01/13,11.7,"-1,00%",-7.1%,-17.1%,Casco
1068,01/12/12,11.8,-1.5%,-15.3%,-16.6%,Casco
1069,01/11/12,12.0,-4.8%,-11.6%,"-15,00%",Casco
1070,01/10/12,12.6,-9.7%,-5.5%,"-10,00%",Casco
1071,01/09/12,14.0,2.9%,7.6%,n.d.,Casco
1072,01/08/12,13.6,1.8%,4.4%,n.d.,Casco
1073,01/07/12,13.3,2.8%,2.2%,n.d.,Casco
1074,01/06/12,13.0,-0.2%,-3.9%,n.d.,Casco
1075,01/05/12,13.0,-0.4%,1.1%,n.d.,Casco
1076,01/04/12,13.1,-3.3%,-7.6%,n.d.,Casco
1077,01/03/12,13.5,"5,00%",-4.7%,n.d.,Casco
1078,01/02/12,12.9,-8.9%,-8.9%,n.d.,Casco
1079,01/01/12,14.1,-0.3%,0.8%,n.d.,Casco
1080,01/12/11,14.2,0.3%,n.d.,n.d.,Casco
1081,01/11/11,14.1,0.8%,n.d.,n.d.,Casco
1082,01/10/11,14.0,n.d.,n.d.,n.d.,Casco
1083,01/09/11,n.d.,n.d.,n.d.,n.d.,Casco
1084,01/08/11,n.d.,n.d.,n.d.,n.d.,Casco
1085,01/07/11,n.d.,n.d.,n.d.,n.d.,Casco
1086,01/06/11,n.d.,n.d.,n.d.,n.d.,Casco
1087,01/05/11,n.d.,n.d.,n.d.,n.d.,Casco
1088,01/04/11,n.d.,n.d.,n.d.,n.d.,Casco
1089,01/03/11,n.d.,n.d.,n.d.,n.d.,Casco
1090,01/02/11,n.d.,n.d.,n.d.,n.d.,Casco
1091,01/01/11,n.d.,n.d.,n.d.,n.d.,Casco
1092,01/12/10,n.d.,n.d.,n.d.,n.d.,Casco
1093,01/11/10,n.d.,n.d.,n.d.,n.d.,Casco
1094,01/10/10,n.d.,n.d.,n.d.,n.d.,Casco
1095,01/09/10,n.d.,n.d.,n.d.,n.d.,Casco
1096,01/08/10,n.d.,n.d.,n.d.,n.d.,Casco
1097,01/07/10,n.d.,n.d.,n.d.,n.d.,Casco
1098,01/06/10,n.d.,n.d.,n.d.,n.d.,Casco
1099,01/05/10,n.d.,n.d.,n.d.,n.d.,Casco
1100,01/04/10,n.d.,n.d.,n.d.,n.d.,Casco
1101,01/03/10,n.d.,n.d.,n.d.,n.d.,Casco
1102,01/02/10,n.d.,n.d.,n.d.,n.d.,Casco
1103,01/01/10,n.d.,n.d.,n.d.,n.d.,Casco
1104,01/12/09,n.d.,n.d.,n.d.,n.d.,Casco
1105,01/11/09,n.d.,n.d.,n.d.,n.d.,Casco
1106,01/10/09,n.d.,n.d.,n.d.,n.d.,Casco
1107,01/09/09,n.d.,n.d.,n.d.,n.d.,Casco
1108,01/08/09,n.d.,n.d.,n.d.,n.d.,Casco
1109,01/07/09,n.d.,n.d.,n.d.,n.d.,Casco
1110,01/06/09,n.d.,n.d.,n.d.,n.d.,Casco
1111,01/05/09,n.d.,n.d.,n.d.,n.d.,Casco
1112,01/04/09,n.d.,n.d.,n.d.,n.d.,Casco
1113,01/03/09,n.d.,n.d.,n.d.,n.d.,Casco
1114,01/02/09,n.d.,n.d.,n.d.,n.d.,Casco
1115,01/01/09,n.d.,n.d.,n.d.,n.d.,Casco
1116,01/12/08,n.d.,n.d.,n.d.,n.d.,Casco
1117,01/11/08,n.d.,n.d.,n.d.,n.d.,Casco
1118,01/10/08,n.d.,n.d.,n.d.,n.d.,Casco
1119,01/09/08,n.d.,n.d.,n.d.,n.d.,Casco
1120,01/08/08,n.d.,n.d.,n.d.,n.d.,Casco
1121,01/07/08,n.d.,n.d.,n.d.,n.d.,Casco
1122,01/06/08,n.d.,n.d.,n.d.,n.d.,Casco
1123,01/05/08,n.d.,n.d.,n.d.,n.d.,Casco
1124,01/04/08,n.d.,n.d.,n.d.,n.d.,Casco
1125,01/03/08,n.d.,n.d.,n.d.,n.d.,Casco
1126,01/02/08,n.d.,n.d.,n.d.,n.d.,Casco
1127,01/01/08,n.d.,n.d.,n.d.,n.d.,Casco
1128,01/12/07,n.d.,n.d.,n.d.,n.d.,Casco
1129,01/11/07,n.d.,n.d.,n.d.,n.d.,Casco
1130,01/10/07,n.d.,n.d.,n.d.,n.d.,Casco
1131,01/09/07,n.d.,n.d.,n.d.,n.d.,Casco
1132,01/08/07,n.d.,n.d.,n.d.,n.d.,Casco
1133,01/07/07,n.d.,n.d.,n.d.,n.d.,Casco
1134,01/06/07,n.d.,n.d.,n.d.,n.d.,Casco
1135,01/05/07,n.d.,n.d.,n.d.,n.d.,Casco
1136,01/04/07,n.d.,n.d.,n.d.,n.d.,Casco
1137,01/03/07,n.d.,n.d.,n.d.,n.d.,Casco
1138,01/02/07,n.d.,n.d.,n.d.,n.d.,Casco
1139,01/01/07,n.d.,n.d.,n.d.,n.d.,Casco
1140,01/12/06,n.d.,n.d.,n.d.,n.d.,Casco
1141,01/11/06,n.d.,n.d.,n.d.,n.d.,Casco
1142,01/10/06,n.d.,n.d.,n.d.,n.d.,Casco
1143,01/09/06,n.d.,n.d.,n.d.,n.d.,Casco
1144,01/08/06,n.d.,n.d.,n.d.,n.d.,Casco
1145,01/07/06,n.d.,n.d.,n.d.,n.d.,Casco
1146,01/06/06,n.d.,n.d.,n.d.,n.d.,Casco
1147,01/05/06,n.d.,n.d.,n.d.,n.d.,Casco
1148,01/04/06,n.d.,n.d.,n.d.,n.d.,Casco
1149,01/03/06,n.d.,n.d.,n.d.,n.d.,Casco
1150,01/02/06,n.d.,n.d.,n.d.,n.d.,Casco
1151,01/01/06,n.d.,n.d.,n.d.,n.d.,Casco
1152,01/02/25,14.4,2.9%,6.5%,10.4%,Deusto
1153,01/01/25,13.9,-0.2%,1.8%,8.6%,Deusto
1154,01/12/24,14.0,3.7%,-0.5%,11.8%,Deusto
1155,01/11/24,13.5,-1.7%,-1.8%,3.6%,Deusto
1156,01/10/24,13.7,-2.4%,0.3%,5.4%,Deusto
1157,01/09/24,14.0,2.3%,-2.6%,"9,00%",Deusto
1158,01/08/24,13.7,0.5%,-3.5%,"5,00%",Deusto
1159,01/07/24,13.7,-5.3%,-0.4%,3.6%,Deusto
1160,01/06/24,14.4,1.4%,8.1%,8.3%,Deusto
1161,01/05/24,14.2,3.7%,9.4%,7.1%,Deusto
1162,01/04/24,13.7,2.9%,6.8%,4.2%,Deusto
1163,01/03/24,13.3,2.6%,6.7%,1.6%,Deusto
1164,01/02/24,13.0,1.3%,n.d.,1.3%,Deusto
1165,01/01/24,12.8,2.7%,-1.2%,3.7%,Deusto
1166,01/12/23,12.5,-3.8%,-2.9%,0.6%,Deusto
1167,01/11/23,13.0,n.d.,-0.5%,"4,00%",Deusto
1168,01/10/23,13.0,0.9%,-1.4%,"5,00%",Deusto
1169,01/09/23,12.9,-1.4%,-3.2%,6.6%,Deusto
1170,01/08/23,13.1,-0.9%,-1.6%,6.9%,Deusto
1171,01/07/23,13.2,"-1,00%",0.2%,7.9%,Deusto
1172,01/06/23,13.3,0.2%,1.4%,8.9%,Deusto
1173,01/05/23,13.3,"1,00%",3.5%,8.5%,Deusto
1174,01/04/23,13.2,0.3%,6.3%,7.7%,Deusto
1175,01/03/23,13.1,2.2%,5.6%,11.3%,Deusto
1176,01/02/23,12.8,3.7%,2.7%,"10,00%",Deusto
1177,01/01/23,12.4,-0.4%,n.d.,9.8%,Deusto
1178,01/12/22,12.4,-0.6%,2.9%,5.6%,Deusto
1179,01/11/22,12.5,"1,00%",2.3%,4.2%,Deusto
1180,01/10/22,12.4,2.5%,1.3%,2.1%,Deusto
1181,01/09/22,12.1,-1.1%,-1.1%,2.2%,Deusto
1182,01/08/22,12.2,n.d.,-0.2%,"4,00%",Deusto
1183,01/07/22,12.2,n.d.,n.d.,"3,00%",Deusto
1184,01/06/22,12.2,-0.2%,3.7%,1.1%,Deusto
1185,01/05/22,12.2,0.2%,"5,00%",-0.3%,Deusto
1186,01/04/22,12.2,3.7%,8.3%,0.4%,Deusto
1187,01/03/22,11.8,1.1%,0.2%,-0.2%,Deusto
1188,01/02/22,11.7,3.4%,-2.8%,1.1%,Deusto
1189,01/01/22,11.3,-4.1%,-6.9%,-6.3%,Deusto
1190,01/12/21,11.8,"-2,00%",-0.5%,-3.4%,Deusto
1191,01/11/21,12.0,"-1,00%",2.1%,-0.6%,Deusto
1192,01/10/21,12.1,2.6%,2.2%,3.9%,Deusto
1193,01/09/21,11.8,0.6%,-2.2%,"2,00%",Deusto
1194,01/08/21,11.8,-0.9%,-4.3%,1.5%,Deusto
1195,01/07/21,11.9,-1.8%,-2.6%,1.7%,Deusto
1196,01/06/21,12.1,-1.6%,2.2%,1.8%,Deusto
1197,01/05/21,12.3,0.9%,6.4%,2.2%,Deusto
1198,01/04/21,12.2,"3,00%",1.1%,2.5%,Deusto
1199,01/03/21,11.8,2.4%,-2.9%,-2.2%,Deusto
1200,01/02/21,11.5,-4.2%,-4.5%,"-6,00%",Deusto
1201,01/01/21,12.0,-1.1%,3.3%,"-7,00%",Deusto
1202,01/12/20,12.2,0.8%,5.1%,0.2%,Deusto
1203,01/11/20,12.1,3.5%,4.3%,3.5%,Deusto
1204,01/10/20,11.7,0.7%,"0,00%",3.7%,Deusto
1205,01/09/20,11.6,"0,00%",-2.5%,3.9%,Deusto
1206,01/08/20,11.6,-0.8%,-3.7%,4.4%,Deusto
1207,01/07/20,11.7,-1.8%,-1.8%,3.7%,Deusto
1208,01/06/20,11.9,-1.2%,-1.7%,3.9%,Deusto
1209,01/05/20,12.0,1.2%,-2.1%,3.1%,Deusto
1210,01/04/20,11.9,-1.7%,-8.3%,"-1,00%",Deusto
1211,01/03/20,12.1,-1.6%,-0.5%,2.8%,Deusto
1212,01/02/20,12.3,-5.2%,5.2%,9.2%,Deusto
1213,01/01/20,13.0,6.7%,15.1%,17.8%,Deusto
1214,01/12/19,12.1,4.1%,"9,00%","8,00%",Deusto
1215,01/11/19,11.7,3.7%,5.2%,3.7%,Deusto
1216,01/10/19,11.3,0.9%,n.d.,1.3%,Deusto
1217,01/09/19,11.1,0.5%,-2.5%,-0.9%,Deusto
1218,01/08/19,11.1,-1.4%,-4.9%,-0.2%,Deusto
1219,01/07/19,11.3,-1.6%,-6.2%,2.3%,Deusto
1220,01/06/19,11.4,"-2,00%",-2.7%,4.9%,Deusto
1221,01/05/19,11.7,-2.8%,3.7%,"7,00%",Deusto
1222,01/04/19,12.0,2.1%,9.1%,9.2%,Deusto
1223,01/03/19,11.7,4.5%,4.5%,5.9%,Deusto
1224,01/02/19,11.2,2.3%,"0,00%",1.3%,Deusto
1225,01/01/19,11.0,-2.2%,"-1,00%",-0.9%,Deusto
1226,01/12/18,11.2,"0,00%","0,00%",0.2%,Deusto
1227,01/11/18,11.2,1.2%,1.2%,2.8%,Deusto
1228,01/10/18,11.1,-1.2%,"1,00%",4.3%,Deusto
1229,01/09/18,11.2,1.2%,3.3%,6.1%,Deusto
1230,01/08/18,11.1,1.1%,1.9%,4.8%,Deusto
1231,01/07/18,11.0,0.9%,0.1%,3.3%,Deusto
1232,01/06/18,10.9,-0.1%,-1.8%,2.1%,Deusto
1233,01/05/18,10.9,-0.7%,-1.8%,0.4%,Deusto
1234,01/04/18,11.0,"-1,00%",-1.1%,0.3%,Deusto
1235,01/03/18,11.1,-0.1%,-1.1%,3.1%,Deusto
1236,01/02/18,11.1,"0,00%",1.6%,2.6%,Deusto
1237,01/01/18,11.1,-1.1%,4.3%,5.1%,Deusto
1238,01/12/17,11.2,2.6%,5.9%,5.3%,Deusto
1239,01/11/17,10.9,2.7%,3.2%,2.6%,Deusto
1240,01/10/17,10.6,0.5%,"0,00%",-1.7%,Deusto
1241,01/09/17,10.6,"0,00%",-0.7%,"2,00%",Deusto
