Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/01/13,2.987 €/m2,-1.1%,"-3,00%",-7.8%
01/12/12,3.021 €/m2,-2.2%,-2.9%,-7.1%
01/11/12,3.088 €/m2,0.3%,-1.8%,"-7,00%"
01/10/12,3.080 €/m2,"-1,00%",-2.1%,-7.5%
01/09/12,3.111 €/m2,-1.1%,-1.7%,-5.4%
01/08/12,3.144 €/m2,-0.1%,"0,00%",-4.5%
01/07/12,3.147 €/m2,-0.5%,-0.3%,-4.8%
01/06/12,3.164 €/m2,0.6%,-0.5%,-4.4%
01/05/12,3.146 €/m2,-0.3%,"-1,00%",-7.2%
01/04/12,3.155 €/m2,-0.7%,-2.6%,-5.6%
01/03/12,3.179 €/m2,0.1%,-2.2%,-5.6%
01/02/12,3.177 €/m2,-1.9%,-4.3%,-6.2%
01/01/12,3.239 €/m2,-0.4%,-2.7%,-4.5%
01/12/11,3.251 €/m2,-2.1%,-1.2%,-3.2%
01/11/11,3.320 €/m2,-0.2%,0.9%,"2,00%"
01/10/11,3.328 €/m2,1.1%,0.7%,2.2%
01/09/11,3.291 €/m2,"0,00%",-0.5%,0.7%
01/08/11,3.292 €/m2,-0.4%,-2.9%,-0.7%
01/07/11,3.306 €/m2,-0.1%,-1.1%,0.9%
01/06/11,3.308 €/m2,-2.4%,-1.7%,4.8%
01/05/11,3.391 €/m2,1.4%,0.2%,4.4%
01/04/11,3.344 €/m2,-0.7%,-1.5%,5.7%
01/03/11,3.367 €/m2,-0.5%,0.2%,n.d.
01/02/11,3.385 €/m2,-0.2%,"4,00%",n.d.
01/01/11,3.393 €/m2,"1,00%",4.2%,n.d.
01/12/10,3.359 €/m2,3.2%,2.8%,n.d.
01/11/10,3.254 €/m2,"0,00%",-1.8%,n.d.
01/10/10,3.256 €/m2,-0.4%,-0.6%,n.d.
01/09/10,3.267 €/m2,-1.4%,3.5%,n.d.
01/08/10,3.314 €/m2,1.2%,"2,00%",n.d.
01/07/10,3.276 €/m2,3.7%,3.6%,n.d.
01/06/10,3.158 €/m2,-2.8%,n.d.,n.d.
01/05/10,3.250 €/m2,2.7%,n.d.,n.d.
01/04/10,3.163 €/m2,n.d.,n.d.,n.d.
01/03/10,n.d.,n.d.,n.d.,n.d.
01/02/10,n.d.,n.d.,n.d.,n.d.
01/01/10,n.d.,n.d.,n.d.,n.d.
01/12/09,n.d.,n.d.,n.d.,n.d.
01/11/09,n.d.,n.d.,n.d.,n.d.
01/10/09,n.d.,n.d.,n.d.,n.d.
01/09/09,n.d.,n.d.,n.d.,n.d.
01/08/09,n.d.,n.d.,n.d.,n.d.
01/07/09,n.d.,n.d.,n.d.,n.d.
01/06/09,n.d.,n.d.,n.d.,n.d.
01/05/09,n.d.,n.d.,n.d.,n.d.
01/04/09,n.d.,n.d.,n.d.,n.d.
01/03/09,n.d.,n.d.,n.d.,n.d.
01/02/09,n.d.,n.d.,n.d.,n.d.
01/01/09,n.d.,n.d.,n.d.,n.d.
01/12/08,n.d.,n.d.,n.d.,n.d.
01/11/08,n.d.,n.d.,n.d.,n.d.
01/10/08,n.d.,n.d.,n.d.,n.d.
01/09/08,n.d.,n.d.,n.d.,n.d.
01/08/08,n.d.,n.d.,n.d.,n.d.
01/07/08,n.d.,n.d.,n.d.,n.d.
01/06/08,n.d.,n.d.,n.d.,n.d.
01/05/08,n.d.,n.d.,n.d.,n.d.
01/04/08,n.d.,n.d.,n.d.,n.d.
