"Renta personal media de la C.A. de Euskadi (euros) por barrios, tipo de renta y periodo",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Renta capital mobiliario,2184,1410,1384,1352,1199,962,894,871,868,991,803,1038,1063
,Renta capital inmobiliario,231,286,320,325,358,355,364,416,395,454,443,470,518
,Renta de actividades,694,620,634,556,610,628,655,723,727,726,812,752,741
,Transferencias,4079,4754,5184,5902,6070,6371,6630,6834,7050,7401,8077,8151,8627
,Renta disponible,15197,16801,16804,16687,16954,16847,17039,17603,17500,18343,18954,19692,20924
Indautxu,Renta total,29992,32561,32461,31774,31966,33958,34360,35702,36281,37467,36277,38097,41750
,Renta del trabajo,14401,16912,17377,16936,17206,17572,17508,19719,19782,20596,19695,20554,22412
,Renta capital mobiliario,7079,6359,5334,4808,4436,4404,5865,4552,4887,4660,3959,4536,5780
,Renta capital inmobiliario,1081,1269,1344,1281,1375,1418,1478,1552,1562,1705,1560,1640,1808
,Renta de actividades,2435,2344,2476,2296,2403,3765,2652,2819,2830,3019,2858,3185,3057
,Transferencias,4995,5677,5930,6453,6546,6799,6857,7060,7220,7486,8205,8181,8693
,Renta disponible,23780,26153,25731,24691,24894,25977,26545,27399,27710,28870,28292,29416,32318
Iralabarri,Renta total,17016,18763,18123,17496,17773,18017,18271,18667,18769,19563,19212,20264,21727
,Renta del trabajo,9846,10985,10947,10513,10622,10569,10839,11041,11071,11783,11019,11657,12590
,Renta capital mobiliario,2227,2101,1582,1206,1229,1039,915,901,1061,896,726,1001,1202
,Renta capital inmobiliario,309,380,399,367,384,378,401,431,407,441,429,450,483
,Renta de actividades,925,874,833,753,872,859,864,901,889,938,887,1016,1021
,Transferencias,3709,4424,4361,4658,4666,5172,5252,5394,5342,5505,6151,6140,6431
,Renta disponible,14260,16034,15290,14734,14995,15242,15436,15782,15740,16480,16286,17040,18240
Iturralde,Renta total,16076,17529,17587,18439,18453,18510,18796,19404,19291,20154,21342,21267,22507
,Renta del trabajo,10403,11469,11718,12169,12063,11546,11784,11893,11927,12556,11944,12888,13631
,Renta capital mobiliario,1339,1171,883,874,810,772,697,892,871,715,1883,719,1118
,Renta capital inmobiliario,146,166,203,202,258,267,288,322,314,349,341,369,392
,Renta de actividades,840,737,701,667,719,746,742,829,811,890,780,848,832
,Transferencias,3348,3986,4083,4527,4604,5180,5285,5468,5368,5644,6394,6443,6533
,Renta disponible,13598,15082,14930,15559,15632,15635,15873,16410,16167,17007,18020,17970,18931
Iturrigorri-Peñascal,Renta total,9210,10579,9794,9969,9712,10193,10418,10603,10722,10981,11096,12470,13362
,Renta del trabajo,6015,6626,6218,6194,6132,5353,5517,5778,6068,6371,6064,6941,7542
,Renta capital mobiliario,149,235,123,131,110,163,122,125,80,28,20,82,57
,Renta capital inmobiliario,14,22,41,27,51,56,50,45,47,46,58,77,77
,Renta de actividades,479,521,378,407,355,349,365,371,441,361,315,359,416
,Transferencias,2554,3175,3033,3210,3063,4272,4364,4284,4086,4175,4640,5010,5269
,Renta disponible,8261,9603,8846,9068,8851,9304,9493,9658,9704,9941,10114,11290,12085
La Peña,Renta total,13033,14419,14178,14058,14108,14525,14630,15117,15324,16090,16125,16740,17610
,Renta del trabajo,8603,9329,9118,8656,8700,8441,8596,8906,9037,9554,9013,9669,10247
,Renta capital mobiliario,669,683,461,514,501,394,327,301,236,298,285,234,264
,Renta capital inmobiliario,98,136,175,140,157,164,173,191,167,195,192,195,206
,Renta de actividades,751,646,691,603,652,733,704,719,723,800,701,765,795
,Transferencias,2911,3625,3734,4144,4098,4793,4829,5000,5160,5244,5933,5877,6098
,Renta disponible,11278,12775,12432,12349,12405,12793,12861,13273,13419,14104,14210,14685,15442
La Ribera,Renta total,12836,14682,15146,14834,15406,15840,16858,17334,16810,17934,17233,19212,20690
,Renta del trabajo,7980,9828,10043,9922,10492,10203,10757,11803,11461,12793,11041,12993,14264
,Renta capital mobiliario,850,561,447,247,492,339,385,181,169,246,308,172,176
,Renta capital inmobiliario,47,54,52,136,177,195,309,182,231,233,166,241,257
