Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/11/17,10.7 €/m2,-0.1%,1.3%,3.8%
01/10/17,10.7 €/m2,"1,00%",3.6%,4.8%
01/09/17,10.6 €/m2,0.4%,1.3%,5.7%
01/08/17,10.5 €/m2,2.1%,-2.3%,3.9%
01/07/17,10.3 €/m2,-1.2%,-4.3%,-0.7%
01/06/17,10.4 €/m2,-3.1%,-3.1%,1.2%
01/05/17,10.8 €/m2,n.d.,2.3%,4.7%
01/04/17,10.8 €/m2,n.d.,2.3%,6.4%
01/03/17,10.8 €/m2,2.3%,3.7%,7.7%
01/02/17,10.5 €/m2,n.d.,2.4%,2.1%
01/01/17,10.5 €/m2,1.4%,3.3%,5.3%
01/12/16,10.4 €/m2,"1,00%",3.8%,3.8%
01/11/16,10.3 €/m2,0.9%,1.5%,-0.1%
01/10/16,10.2 €/m2,1.9%,-1.9%,-1.3%
01/09/16,10.0 €/m2,-1.3%,"-3,00%",-3.2%
01/08/16,10.1 €/m2,-2.5%,-1.5%,0.1%
01/07/16,10.4 €/m2,0.7%,2.6%,2.2%
01/06/16,10.3 €/m2,0.2%,3.2%,0.8%
01/05/16,10.3 €/m2,1.6%,-0.3%,-1.7%
01/04/16,10.1 €/m2,1.2%,1.2%,-4.4%
01/03/16,10.0 €/m2,-3.1%,"0,00%","0,00%"
01/02/16,10.3 €/m2,3.1%,0.3%,3.1%
01/01/16,10.0 €/m2,n.d.,-3.2%,-1.2%
01/12/15,10.0 €/m2,-2.8%,-3.2%,-3.7%
01/11/15,10.3 €/m2,-0.4%,1.6%,-1.3%
01/10/15,10.3 €/m2,n.d.,1.7%,"2,00%"
01/09/15,10.3 €/m2,"2,00%",0.9%,3.3%
01/08/15,10.1 €/m2,-0.4%,-3.3%,1.2%
01/07/15,10.2 €/m2,-0.7%,-4.1%,1.6%
01/06/15,10.2 €/m2,-2.2%,2.3%,1.7%
01/05/15,10.5 €/m2,-1.2%,4.6%,4.6%
01/04/15,10.6 €/m2,5.9%,4.6%,5.2%
01/03/15,10.0 €/m2,n.d.,-3.7%,n.d.
01/02/15,10.0 €/m2,-1.2%,"-4,00%",n.d.
01/01/15,10.1 €/m2,-2.6%,n.d.,-2.3%
01/12/14,10.4 €/m2,-0.3%,3.8%,0.7%
01/11/14,10.4 €/m2,2.9%,4.2%,0.7%
01/10/14,10.1 €/m2,1.2%,1.2%,-2.3%
01/09/14,10.0 €/m2,n.d.,-0.6%,-4.3%
01/08/14,10.0 €/m2,n.d.,n.d.,-3.2%
01/07/14,10.0 €/m2,-0.6%,-0.6%,-3.7%
01/06/14,10.1 €/m2,0.6%,0.6%,-3.1%
01/05/14,10.0 €/m2,-0.6%,n.d.,-5.3%
01/04/14,10.1 €/m2,0.6%,-2.8%,-5.1%
01/03/14,10.0 €/m2,n.d.,"-3,00%",-6.3%
01/02/14,10.0 €/m2,-3.4%,-3.3%,-6.3%
01/01/14,10.4 €/m2,0.5%,"0,00%",-4.1%
01/12/13,10.3 €/m2,-0.3%,-1.3%,-6.3%
01/11/13,10.3 €/m2,-0.1%,0.1%,-6.4%
01/10/13,10.4 €/m2,-0.9%,-0.3%,-6.8%
01/09/13,10.4 €/m2,1.1%,0.6%,-9.7%
01/08/13,10.3 €/m2,-0.5%,-2.1%,-11.7%
01/07/13,10.4 €/m2,n.d.,-2.1%,-12.6%
01/06/13,10.4 €/m2,-1.6%,-2.6%,-13.7%
01/05/13,10.6 €/m2,-0.5%,"-1,00%",-12.3%
01/04/13,10.6 €/m2,-0.6%,-1.8%,"-12,00%"
01/03/13,10.7 €/m2,n.d.,"-3,00%",-11.5%
01/02/13,10.7 €/m2,-1.2%,-3.5%,-14.1%
01/01/13,10.8 €/m2,-1.9%,-2.8%,-10.9%
01/12/12,11.0 €/m2,-0.5%,-4.9%,-9.9%
01/11/12,11.1 €/m2,-0.5%,-5.5%,-9.6%
01/10/12,11.1 €/m2,"-4,00%",-6.4%,-7.4%
01/09/12,11.6 €/m2,-1.1%,-3.9%,-1.6%
01/08/12,11.7 €/m2,-1.5%,-2.9%,-0.9%
01/07/12,11.9 €/m2,-1.4%,-1.4%,n.d.
01/06/12,12.0 €/m2,"0,00%",-0.1%,n.d.
01/05/12,12.0 €/m2,"0,00%","-3,00%",n.d.
01/04/12,12.0 €/m2,"0,00%",-0.5%,n.d.
01/03/12,12.0 €/m2,-2.9%,-1.4%,n.d.
01/02/12,12.4 €/m2,2.5%,1.6%,n.d.
01/01/12,12.1 €/m2,-0.8%,0.9%,n.d.
01/12/11,12.2 €/m2,-0.1%,3.8%,n.d.
01/11/11,12.2 €/m2,1.9%,3.5%,n.d.
01/10/11,12.0 €/m2,"2,00%",n.d.,n.d.
01/09/11,11.8 €/m2,-0.3%,n.d.,n.d.
01/08/11,11.8 €/m2,n.d.,n.d.,n.d.
01/07/11,n.d.,n.d.,n.d.,n.d.
01/06/11,n.d.,n.d.,n.d.,n.d.
01/05/11,n.d.,n.d.,n.d.,n.d.
01/04/11,n.d.,n.d.,n.d.,n.d.
01/03/11,n.d.,n.d.,n.d.,n.d.
01/02/11,n.d.,n.d.,n.d.,n.d.
01/01/11,n.d.,n.d.,n.d.,n.d.
01/12/10,n.d.,n.d.,n.d.,n.d.
01/11/10,n.d.,n.d.,n.d.,n.d.
01/10/10,n.d.,n.d.,n.d.,n.d.
01/09/10,n.d.,n.d.,n.d.,n.d.
01/08/10,n.d.,n.d.,n.d.,n.d.
01/07/10,n.d.,n.d.,n.d.,n.d.
01/06/10,n.d.,n.d.,n.d.,n.d.
01/05/10,n.d.,n.d.,n.d.,n.d.
01/04/10,n.d.,n.d.,n.d.,n.d.
01/03/10,n.d.,n.d.,n.d.,n.d.
01/02/10,n.d.,n.d.,n.d.,n.d.
01/01/10,n.d.,n.d.,n.d.,n.d.
01/12/09,n.d.,n.d.,n.d.,n.d.
01/11/09,n.d.,n.d.,n.d.,n.d.
01/10/09,n.d.,n.d.,n.d.,n.d.
01/09/09,n.d.,n.d.,n.d.,n.d.
01/08/09,n.d.,n.d.,n.d.,n.d.
01/07/09,n.d.,n.d.,n.d.,n.d.
01/06/09,n.d.,n.d.,n.d.,n.d.
01/05/09,n.d.,n.d.,n.d.,n.d.
01/04/09,n.d.,n.d.,n.d.,n.d.
01/03/09,n.d.,n.d.,n.d.,n.d.
01/02/09,n.d.,n.d.,n.d.,n.d.
01/01/09,n.d.,n.d.,n.d.,n.d.
01/12/08,n.d.,n.d.,n.d.,n.d.
01/11/08,n.d.,n.d.,n.d.,n.d.
01/10/08,n.d.,n.d.,n.d.,n.d.
